item_id,store_id,cat_id,dept_id,abc_class,xyz_class,forecast_mean,safety_stock,EOQ,demand_during_lead_time,ROP,naive_current_stock,stockout_risk,DOH,turnover,total_annual_cost_EOQ,state_id,abc_xyz,sell_price,D_annual,holding_cost_per_unit,forecast_error_std,annual_ordering_cost,annual_holding_cost,total_annual_cost_naive,service_level,Z_score,sigma_L,ss_holding_cost,naive_order_frequency,naive_annual_ordering_cost,naive_annual_holding_cost,naive_stockout_cost,naive_total_cost,optimized_stockout_cost,optimized_total_cost,annual_saving,annual_saving_pct
FOODS_1_001,CA_1,FOODS,FOODS_1,B,Z,0.8308610212192183,5.6,82.0,5.816027148534529,11.4,11.632054297069056,0,14.0,6.507817011695594,39.36852394786675,CA,BZ,2.24,303.2642727450147,0.448,1.2781227967601092,18.49172394786675,20.876800000000003,59.77284545750245,0.95,1.6448536269514722,3.3815950652296003,2.5088000000000004,10.10880909150049,50.54404545750245,6.720000000000001,10.30678223307352,67.57082769057597,0.042944925971139705,39.41146887383789,28.159358816738077,41.67384029345764
FOODS_1_002,CA_1,FOODS,FOODS_1,A,Z,0.4388617366725055,4.0,30.0,3.0720321567075386,7.1,6.144064313415077,1,14.0,8.430764941340238,60.44142231424409,CA,AZ,8.88,160.1845338854645,1.7760000000000002,0.7417981870189159,26.697422314244083,33.74400000000001,60.44142231424409,0.98,2.0537489106318225,1.9626135258506328,7.104000000000001,5.339484462848817,26.697422314244083,26.640000000000004,23.713804442620702,77.05122675686479,0.03952300740436787,60.48094532164846,16.57028143521633,21.505538759952344
FOODS_1_003,CA_1,FOODS,FOODS_1,B,Z,0.7260948915588987,4.3,68.0,5.082664240912291,9.4,10.165328481824584,0,14.0,6.919703274647469,41.54790554551456,CA,BZ,2.88,265.02463541899806,0.576,0.994694922786876,19.487105545514563,22.0608,55.28757256983301,0.95,1.6448536269514722,2.631715396072669,2.4768,8.834154513966602,44.17077256983301,8.639999999999999,10.31299695945433,63.123769529287344,0.042970820664393075,41.590876366178954,21.53289316310839,34.112178856995925
FOODS_1_004,CA_1,FOODS,FOODS_1,A,Z,9.276621142490878,0.0,308.0,64.93634799743614,64.9,129.8726959948723,0,14.0,21.986796863695915,109.7909921592398,CA,AZ,1.78,3385.9667170091707,0.356,1.8089532617342584e-15,54.96699215923979,54.824000000000005,569.6677861681951,0.98,2.0537489106318225,4.786040463887982e-15,0.0,112.86555723363902,564.3277861681951,5.34,1.1591772501193127e-14,569.6677861681951,1.9319620835321894e-17,109.7909921592398,459.8767940089553,80.72718963139266
FOODS_1_005,CA_1,FOODS,FOODS_1,A,Z,1.404758242201575,6.3,88.0,9.833307695411024,16.1,19.66661539082205,0,14.0,10.193573725717195,62.12957036383949,CA,AZ,3.28,512.7367584035749,0.656,1.166099635446457,29.132770363839484,32.9968,99.4289264005958,0.98,2.0537489106318225,3.085209639314405,4.1328,17.09122528011916,85.4561264005958,9.84,13.769304495351763,109.06543089594757,0.022948840825586292,62.152519204665076,46.912911691282495,43.01354820304074
FOODS_1_006,CA_1,FOODS,FOODS_1,B,Z,1.56201582409138,7.0,113.0,10.93411076863966,17.9,21.86822153727932,0,14.0,8.978516154226043,53.67524671652008,CA,BZ,2.24,570.1357757933537,0.448,1.6183471874253743,25.227246716520074,28.448000000000004,104.87862929889228,0.95,1.6448536269514722,4.281744192888377,3.136000000000001,19.004525859778457,95.02262929889228,6.720000000000001,13.050351719398218,114.7929810182905,0.05437646549749262,53.72962318201757,61.063357836272935,53.19433060680202
FOODS_1_008,CA_1,FOODS,FOODS_1,C,Z,0.310378026582293,1.2,42.0,2.1726461860760518,3.4,4.345292372152103,0,14.000000000000002,5.103062148762926,28.04986425030202,CA,CZ,3.28,113.28797970253696,0.656,0.3563483225498991,13.486664250302018,14.5632,29.508529950422822,0.9,1.2815515655446004,0.9428090415820632,0.7871999999999999,3.7762659900845654,18.881329950422828,9.84,4.207760992669208,32.929090943092035,0.03506467493891006,28.084928925240927,4.844162017851108,14.710889001529912
FOODS_1_009,CA_1,FOODS,FOODS_1,C,Z,1.4629610258889512,0.0,106.0,10.240727181222658,10.2,20.48145436244532,0,14.0,10.07510895187674,50.415772379691845,CA,CZ,2.38,533.9807744494672,0.476,0.0,25.18777237969185,25.228,96.13679574157786,0.9,1.2815515655446004,0.0,0.0,17.79935914831557,88.99679574157786,7.14,0.0,96.13679574157786,0.0,50.415772379691845,45.72102336188601,47.558297537591315
FOODS_1_010,CA_1,FOODS,FOODS_1,C,Z,0.1934122877875387,2.4,26.0,1.353886014512771,3.8,2.707772029025542,1,14.0,4.584122405354002,29.992454815856085,CA,CZ,5.33,70.59548504245163,1.066,0.700528900717694,13.576054815856082,16.416400000000003,30.31431417374194,0.9,1.2815515655446004,1.853425257512476,2.5584,2.3531828347483876,11.765914173741939,15.990000000000002,13.441748546971114,41.197662720713055,0.11201457122475926,30.104469387080844,11.093193333632211,26.92675409485028
FOODS_1_011,CA_1,FOODS,FOODS_1,B,Z,0.9245038531070836,4.9,82.0,6.471526971749586,11.4,12.943053943499171,0,14.0,7.351719093335197,43.34224795024912,CA,BZ,2.48,337.4439063840855,0.496,1.1338934190276817,20.57584795024912,22.7664,66.11105106401425,0.95,1.6448536269514722,3.0,2.430400000000001,11.24813021280285,56.24065106401425,7.440000000000001,10.123400445079142,73.8040515090934,0.04218083518782979,43.384428785436945,30.419622723656452,41.21673824357522
