item_id,store_id,cat_id,abc_class,xyz_class,forecast_mean,D_annual,sell_price,EOQ,annual_ordering_cost,annual_holding_cost,total_annual_cost_EOQ,total_annual_cost_naive,cost_saving_vs_naive,cost_saving_pct,safety_stock,holding_cost_per_unit,annual_ordering_cost_naive,annual_holding_cost_naive,forecast_error_std,dept_id,state_id,abc_xyz,service_level,Z_score,sigma_L,ss_holding_cost
FOODS_1_001,CA_1,FOODS,B,Z,0.8308610212192183,303.2642727450147,2.24,82.0,18.49172394786675,20.876800000000003,39.36852394786675,59.77284545750245,20.4043215096357,34.13643997280145,5.6,0.44800000000000006,50.54404545750245,9.228800000000001,1.2781227967601092,FOODS_1,CA,BZ,0.95,1.6448536269514722,3.3815950652296003,2.5088000000000004
FOODS_1_002,CA_1,FOODS,A,Z,0.4388617366725055,160.1845338854645,8.88,30.0,26.697422314244083,33.74400000000001,60.44142231424409,60.44142231424409,0.0,0.0,4.0,1.7760000000000002,26.697422314244083,33.74400000000001,0.7417981870189159,FOODS_1,CA,AZ,0.98,2.0537489106318225,1.9626135258506328,7.104000000000001
FOODS_1_003,CA_1,FOODS,B,Z,0.7260948915588987,265.02463541899806,2.88,68.0,19.487105545514563,22.060799999999997,41.54790554551456,55.28757256983301,13.73966702431845,24.85127558632468,4.3,0.576,44.17077256983301,11.1168,0.994694922786876,FOODS_1,CA,BZ,0.95,1.6448536269514722,2.631715396072669,2.4768
FOODS_1_004,CA_1,FOODS,A,Z,9.276621142490878,3385.9667170091707,1.78,308.0,54.96699215923979,54.824000000000005,109.79099215923979,569.6677861681951,459.8767940089553,80.72718963139266,0.0,0.35600000000000004,564.3277861681951,5.340000000000001,1.8089532617342584e-15,FOODS_1,CA,AZ,0.98,2.0537489106318225,4.786040463887982e-15,0.0
FOODS_1_005,CA_1,FOODS,A,Z,1.404758242201575,512.7367584035749,3.28,88.0,29.132770363839484,32.9968,62.129570363839484,99.42892640059581,37.29935603675633,37.51358622387058,6.3,0.656,85.4561264005958,13.972800000000001,1.166099635446457,FOODS_1,CA,AZ,0.98,2.0537489106318225,3.085209639314405,4.1328
FOODS_1_006,CA_1,FOODS,B,Z,1.56201582409138,570.1357757933537,2.24,113.0,25.227246716520074,28.448000000000004,53.67524671652008,104.87862929889229,51.203382582372214,48.82155966822215,7.0,0.44800000000000006,95.02262929889228,9.856000000000002,1.6183471874253743,FOODS_1,CA,BZ,0.95,1.6448536269514722,4.281744192888377,3.136000000000001
FOODS_1_008,CA_1,FOODS,C,Z,0.310378026582293,113.28797970253696,3.28,42.0,13.486664250302018,14.5632,28.04986425030202,29.508529950422826,1.4586657001208074,4.943200161348282,1.2,0.656,18.881329950422828,10.6272,0.3563483225498991,FOODS_1,CA,CZ,0.9,1.2815515655446004,0.9428090415820632,0.7871999999999999
FOODS_1_009,CA_1,FOODS,C,Z,1.4629610258889512,533.9807744494672,2.38,106.0,25.18777237969185,25.227999999999998,50.415772379691845,96.13679574157786,45.72102336188601,47.558297537591315,0.0,0.476,88.99679574157786,7.14,0.0,FOODS_1,CA,CZ,0.9,1.2815515655446004,0.0,0.0
FOODS_1_010,CA_1,FOODS,C,Z,0.1934122877875387,70.59548504245163,5.33,26.0,13.576054815856082,16.416400000000003,29.992454815856085,30.31431417374194,0.32185935788585596,1.0617405231111856,2.4,1.066,11.765914173741939,18.5484,0.700528900717694,FOODS_1,CA,CZ,0.9,1.2815515655446004,1.8534252575124757,2.5584
FOODS_1_011,CA_1,FOODS,B,Z,0.9245038531070836,337.4439063840855,2.48,82.0,20.575847950249116,22.7664,43.34224795024912,66.11105106401425,22.76880311376513,34.44023767179026,4.9,0.496,56.24065106401425,9.8704,1.1338934190276817,FOODS_1,CA,BZ,0.95,1.6448536269514722,3.0,2.430400000000001
FOODS_1_012,CA_1,FOODS,A,Z,3.593015405557208,1311.450623028381,5.4,110.0,59.611391955835494,71.28,130.8913919558355,246.65510383806352,115.76371188222802,46.93343461412028,11.0,1.08,218.5751038380635,28.080000000000002,2.029869545160568,FOODS_1,CA,AZ,0.98,2.0537489106318225,5.3705300103986575,11.880000000000004
