item_id,store_id,cat_id,dept_id,state_id,abc_class,xyz_class,abc_xyz,forecast_mean,actual_mean,forecast_bias,forecast_error_std,forecast_rmse,cv_actual,sell_price,best_model_used,service_level,Z_score,sigma_L,safety_stock,ss_holding_cost,safety_stock_90,ss_cost_90,safety_stock_95,ss_cost_95,safety_stock_98,ss_cost_98
FOODS_1_001,CA_1,FOODS,FOODS_1,CA,B,Z,BZ,0.8308610212192183,1.1785714285714286,0.3477104073522098,1.2781227967601092,1.3023661656469183,1.084467827554032,2.24,Croston_SBA,0.95,1.6448536269514722,3.3815950652296003,5.6,2.5088000000000004,4.3,1.9264000000000001,5.6,2.5088000000000004,6.9,3.0912000000000006
FOODS_1_002,CA_1,FOODS,FOODS_1,CA,A,Z,AZ,0.4388617366725055,0.4285714285714285,-0.0102903081010769,0.7417981870189159,0.7285040393427987,1.7308624363774705,8.88,Croston_SBA,0.98,2.0537489106318225,1.9626135258506332,4.0,7.104000000000001,2.5,4.44,3.2,5.683200000000001,4.0,7.104000000000001
FOODS_1_003,CA_1,FOODS,FOODS_1,CA,B,Z,BZ,0.7260948915588987,0.7857142857142857,0.0596193941553867,0.994694922786876,0.9785888333782052,1.265975356274206,2.88,Croston_SBA,0.95,1.6448536269514722,2.631715396072669,4.3,2.4768,3.4,1.9584000000000001,4.3,2.4768,5.4,3.1104000000000003
FOODS_1_004,CA_1,FOODS,FOODS_1,CA,A,Z,AZ,9.276621142490878,0.0,-9.276621142490878,1.8089532617342584e-15,9.276621142490876,0.0,1.78,Croston_SBA,0.98,2.0537489106318225,4.786040463887982e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FOODS_1_005,CA_1,FOODS,FOODS_1,CA,A,Z,AZ,1.404758242201575,1.2142857142857142,-0.1904725279158608,1.166099635446457,1.1608205174300532,0.9603173468382588,3.28,Croston_SBA,0.98,2.0537489106318225,3.085209639314405,6.3,4.1328,4.0,2.624,5.1,3.3455999999999997,6.3,4.1328
FOODS_1_006,CA_1,FOODS,FOODS_1,CA,B,Z,BZ,1.56201582409138,1.7857142857142858,0.2236984616229062,1.6183471874253743,1.6048523937777226,0.9062744249582096,2.24,Croston_SBA,0.95,1.6448536269514722,4.281744192888377,7.0,3.1360000000000006,5.5,2.4640000000000004,7.0,3.1360000000000006,8.8,3.942400000000001
FOODS_1_008,CA_1,FOODS,FOODS_1,CA,C,Z,CZ,0.310378026582293,0.1428571428571428,-0.1675208837251501,0.3563483225498991,0.3879590520607709,2.494438257849295,3.28,Croston_SBA,0.9,1.2815515655446004,0.9428090415820632,1.2,0.7871999999999999,1.2,0.7871999999999999,1.6,1.0496,1.9,1.2464
FOODS_1_009,CA_1,FOODS,FOODS_1,CA,C,Z,CZ,1.4629610258889512,0.0,-1.4629610258889512,0.0,1.4629610258889512,0.0,2.38,Croston_SBA,0.9,1.2815515655446004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FOODS_1_010,CA_1,FOODS,FOODS_1,CA,C,Z,CZ,0.1934122877875387,0.25,0.0565877122124613,0.700528900717694,0.6902292770433069,2.802115602870776,5.33,Croston_SBA,0.9,1.2815515655446004,1.8534252575124754,2.4,2.5584000000000002,2.4,2.5584000000000002,3.0,3.1980000000000004,3.8,4.0508
FOODS_1_011,CA_1,FOODS,FOODS_1,CA,B,Z,BZ,0.9245038531070836,1.2142857142857142,0.2897818611786306,1.1338934190276817,1.1505518004138264,0.933794580375738,2.48,Croston_SBA,0.95,1.6448536269514722,3.0,4.9,2.4304000000000006,3.8,1.8848,4.9,2.4304000000000006,6.2,3.0752
