item_id,store_id,cat_id,dept_id,abc_class,xyz_class,forecast_mean,safety_stock,EOQ,demand_during_lead_time,ROP,naive_current_stock,stockout_risk,DOH,turnover,total_annual_cost_EOQ,state_id,abc_xyz,sell_price,D_annual,holding_cost_per_unit,forecast_error_std,annual_ordering_cost,annual_holding_cost,total_annual_cost_naive,service_level,Z_score,sigma_L,ss_holding_cost
FOODS_1_001,CA_1,FOODS,FOODS_1,B,Z,0.8308610212192183,5.6,82.0,5.816027148534529,11.4,11.632054297069057,0,14.0,6.507817011695594,39.36852394786675,CA,BZ,2.24,303.2642727450147,0.448,1.2781227967601092,18.49172394786675,20.876800000000003,59.77284545750245,0.95,1.6448536269514722,3.3815950652296003,2.5088000000000004
FOODS_1_002,CA_1,FOODS,FOODS_1,A,Z,0.4388617366725055,4.0,30.0,3.0720321567075386,7.1,6.144064313415077,1,14.0,8.430764941340238,60.44142231424409,CA,AZ,8.88,160.1845338854645,1.7760000000000002,0.7417981870189159,26.697422314244083,33.74400000000001,60.44142231424409,0.98,2.0537489106318225,1.9626135258506328,7.104000000000001
FOODS_1_003,CA_1,FOODS,FOODS_1,B,Z,0.7260948915588987,4.3,68.0,5.082664240912291,9.4,10.165328481824583,0,14.0,6.919703274647469,41.54790554551456,CA,BZ,2.88,265.02463541899806,0.576,0.994694922786876,19.487105545514563,22.0608,55.28757256983301,0.95,1.6448536269514722,2.631715396072669,2.4768
FOODS_1_004,CA_1,FOODS,FOODS_1,A,Z,9.276621142490878,0.0,308.0,64.93634799743614,64.9,129.8726959948723,0,14.0,21.986796863695915,109.7909921592398,CA,AZ,1.78,3385.9667170091707,0.356,1.8089532617342584e-15,54.96699215923979,54.824000000000005,569.6677861681951,0.98,2.0537489106318225,4.786040463887982e-15,0.0
FOODS_1_005,CA_1,FOODS,FOODS_1,A,Z,1.404758242201575,6.3,88.0,9.833307695411024,16.1,19.66661539082205,0,14.0,10.193573725717195,62.12957036383949,CA,AZ,3.28,512.7367584035749,0.656,1.166099635446457,29.132770363839484,32.9968,99.4289264005958,0.98,2.0537489106318225,3.085209639314405,4.1328
FOODS_1_006,CA_1,FOODS,FOODS_1,B,Z,1.56201582409138,7.0,113.0,10.934110768639659,17.9,21.868221537279318,0,14.0,8.978516154226043,53.67524671652008,CA,BZ,2.24,570.1357757933537,0.448,1.6183471874253743,25.227246716520074,28.448000000000004,104.87862929889228,0.95,1.6448536269514722,4.281744192888377,3.136000000000001
FOODS_1_008,CA_1,FOODS,FOODS_1,C,Z,0.310378026582293,1.2,42.0,2.1726461860760513,3.4,4.345292372152103,0,14.000000000000002,5.103062148762926,28.04986425030202,CA,CZ,3.28,113.28797970253696,0.656,0.3563483225498991,13.486664250302018,14.5632,29.508529950422822,0.9,1.2815515655446004,0.9428090415820632,0.7871999999999999
FOODS_1_009,CA_1,FOODS,FOODS_1,C,Z,1.4629610258889512,0.0,106.0,10.240727181222658,10.2,20.481454362445316,0,14.0,10.07510895187674,50.415772379691845,CA,CZ,2.38,533.9807744494672,0.476,0.0,25.18777237969185,25.228,96.13679574157786,0.9,1.2815515655446004,0.0,0.0
FOODS_1_010,CA_1,FOODS,FOODS_1,C,Z,0.1934122877875387,2.4,26.0,1.353886014512771,3.8,2.707772029025542,1,14.0,4.584122405354002,29.992454815856085,CA,CZ,5.33,70.59548504245163,1.066,0.700528900717694,13.576054815856082,16.416400000000003,30.31431417374194,0.9,1.2815515655446004,1.853425257512476,2.5584
FOODS_1_011,CA_1,FOODS,FOODS_1,B,Z,0.9245038531070836,4.9,82.0,6.471526971749586,11.4,12.943053943499171,0,14.0,7.351719093335197,43.34224795024912,CA,BZ,2.48,337.4439063840855,0.496,1.1338934190276817,20.57584795024912,22.7664,66.11105106401425,0.95,1.6448536269514722,3.0,2.430400000000001
FOODS_1_012,CA_1,FOODS,FOODS_1,A,Z,3.593015405557208,11.0,110.0,25.151107838900458,36.2,50.302215677800916,0,14.0,19.870463985278498,130.8913919558355,CA,AZ,5.4,1311.450623028381,1.08,2.029869545160568,59.61139195583549,71.28,246.65510383806352,0.98,2.0537489106318225,5.3705300103986575,11.880000000000004
