item_id,store_id,cat_id,dept_id,state_id,abc_class,xyz_class,abc_xyz,sell_price,forecast_mean,safety_stock,EOQ,ROP,DOH,turnover,stockout_risk,total_annual_cost_EOQ,total_annual_cost_naive,annual_saving,annual_saving_pct,best_model_used,forecast_rmse,forecast_bias
FOODS_1_001,CA_1,FOODS,FOODS_1,CA,B,Z,BZ,2.24,0.8308610212192183,5.6,82.0,11.4,14.0,6.507817011695594,0,39.36852394786675,59.77284545750245,28.15935881673808,41.67384029345764,Croston_SBA,1.3023661656469183,0.3477104073522098
FOODS_1_002,CA_1,FOODS,FOODS_1,CA,A,Z,AZ,8.88,0.4388617366725055,4.0,30.0,7.1,14.0,8.430764941340238,1,60.44142231424409,60.44142231424409,16.57028143521633,21.505538759952344,Croston_SBA,0.7285040393427987,-0.0102903081010769
FOODS_1_003,CA_1,FOODS,FOODS_1,CA,B,Z,BZ,2.88,0.7260948915588987,4.3,68.0,9.4,14.0,6.919703274647469,0,41.54790554551456,55.28757256983301,21.53289316310839,34.112178856995925,Croston_SBA,0.9785888333782052,0.0596193941553867
FOODS_1_004,CA_1,FOODS,FOODS_1,CA,A,Z,AZ,1.78,9.276621142490878,0.0,308.0,64.9,14.0,21.986796863695915,0,109.7909921592398,569.6677861681951,459.8767940089553,80.72718963139266,Croston_SBA,9.276621142490876,-9.276621142490878
FOODS_1_005,CA_1,FOODS,FOODS_1,CA,A,Z,AZ,3.28,1.404758242201575,6.3,88.0,16.1,14.0,10.193573725717195,0,62.12957036383949,99.4289264005958,46.912911691282495,43.01354820304074,Croston_SBA,1.1608205174300532,-0.1904725279158608
FOODS_1_006,CA_1,FOODS,FOODS_1,CA,B,Z,BZ,2.24,1.56201582409138,7.0,113.0,17.9,14.0,8.978516154226043,0,53.67524671652008,104.87862929889228,61.063357836272935,53.19433060680202,Croston_SBA,1.6048523937777226,0.2236984616229062
FOODS_1_008,CA_1,FOODS,FOODS_1,CA,C,Z,CZ,3.28,0.310378026582293,1.2,42.0,3.4,14.000000000000002,5.103062148762926,0,28.04986425030202,29.508529950422822,4.844162017851108,14.710889001529912,Croston_SBA,0.3879590520607709,-0.1675208837251501
FOODS_1_009,CA_1,FOODS,FOODS_1,CA,C,Z,CZ,2.38,1.4629610258889512,0.0,106.0,10.2,14.0,10.07510895187674,0,50.415772379691845,96.13679574157786,45.72102336188601,47.55829753759132,Croston_SBA,1.4629610258889512,-1.4629610258889512
FOODS_1_010,CA_1,FOODS,FOODS_1,CA,C,Z,CZ,5.33,0.1934122877875387,2.4,26.0,3.8,14.0,4.584122405354002,1,29.992454815856085,30.31431417374194,11.093193333632213,26.92675409485028,Croston_SBA,0.6902292770433069,0.0565877122124613
FOODS_1_011,CA_1,FOODS,FOODS_1,CA,B,Z,BZ,2.48,0.9245038531070836,4.9,82.0,11.4,14.0,7.351719093335197,0,43.34224795024912,66.11105106401425,30.41962272365645,41.21673824357522,Croston_SBA,1.1505518004138264,0.2897818611786306
