item_id,store_id,cat_id,dept_id,state_id,abc_class,xyz_class,abc_xyz,sell_price,forecast_mean,forecast_error_std,service_level,Z_score,sigma_L,safety_stock,ss_holding_cost,EOQ,ROP,demand_during_lead_time,stockout_risk,DOH,turnover,annual_ordering_cost,annual_holding_cost,total_annual_cost_EOQ,total_annual_cost_naive,annual_saving,annual_saving_pct,best_model_used
FOODS_1_001,CA_1,FOODS,FOODS_1,CA,B,Z,BZ,2.24,0.8308610212192183,1.2781227967601092,0.95,1.6448536269514722,3.3815950652296003,5.6,2.5088000000000004,82.0,11.4,5.816027148534529,0,14.0,6.507817011695594,18.49172394786675,20.876800000000003,39.36852394786675,59.77284545750245,28.15935881673808,41.67384029345764,Croston_SBA
FOODS_1_002,CA_1,FOODS,FOODS_1,CA,A,Z,AZ,8.88,0.4388617366725055,0.7417981870189159,0.98,2.0537489106318225,1.9626135258506328,4.0,7.104000000000001,30.0,7.1,3.0720321567075386,1,14.0,8.430764941340238,26.697422314244083,33.74400000000001,60.44142231424409,60.44142231424409,16.57028143521633,21.505538759952344,Croston_SBA
FOODS_1_003,CA_1,FOODS,FOODS_1,CA,B,Z,BZ,2.88,0.7260948915588987,0.994694922786876,0.95,1.6448536269514722,2.631715396072669,4.3,2.4768,68.0,9.4,5.082664240912291,0,14.0,6.919703274647469,19.487105545514563,22.0608,41.54790554551456,55.28757256983301,21.53289316310839,34.112178856995925,Croston_SBA
FOODS_1_004,CA_1,FOODS,FOODS_1,CA,A,Z,AZ,1.78,9.276621142490878,1.8089532617342584e-15,0.98,2.0537489106318225,4.786040463887982e-15,0.0,0.0,308.0,64.9,64.93634799743614,0,14.0,21.986796863695915,54.96699215923979,54.824000000000005,109.7909921592398,569.6677861681951,459.8767940089553,80.72718963139266,Croston_SBA
FOODS_1_005,CA_1,FOODS,FOODS_1,CA,A,Z,AZ,3.28,1.404758242201575,1.166099635446457,0.98,2.0537489106318225,3.085209639314405,6.3,4.1328,88.0,16.1,9.833307695411024,0,14.0,10.193573725717195,29.132770363839484,32.9968,62.12957036383949,99.4289264005958,46.912911691282495,43.01354820304074,Croston_SBA
FOODS_1_006,CA_1,FOODS,FOODS_1,CA,B,Z,BZ,2.24,1.56201582409138,1.6183471874253743,0.95,1.6448536269514722,4.281744192888377,7.0,3.136000000000001,113.0,17.9,10.93411076863966,0,14.0,8.978516154226043,25.227246716520074,28.448000000000004,53.67524671652008,104.87862929889228,61.063357836272935,53.19433060680202,Croston_SBA
FOODS_1_008,CA_1,FOODS,FOODS_1,CA,C,Z,CZ,3.28,0.310378026582293,0.3563483225498991,0.9,1.2815515655446004,0.9428090415820632,1.2,0.7871999999999999,42.0,3.4,2.172646186076052,0,14.000000000000002,5.103062148762926,13.486664250302018,14.5632,28.04986425030202,29.508529950422822,4.844162017851108,14.710889001529912,Croston_SBA
FOODS_1_009,CA_1,FOODS,FOODS_1,CA,C,Z,CZ,2.38,1.4629610258889512,0.0,0.9,1.2815515655446004,0.0,0.0,0.0,106.0,10.2,10.240727181222658,0,14.0,10.07510895187674,25.18777237969185,25.228,50.415772379691845,96.13679574157786,45.72102336188601,47.55829753759132,Croston_SBA
FOODS_1_010,CA_1,FOODS,FOODS_1,CA,C,Z,CZ,5.33,0.1934122877875387,0.700528900717694,0.9,1.2815515655446004,1.853425257512476,2.4,2.5584,26.0,3.8,1.353886014512771,1,14.0,4.584122405354002,13.576054815856082,16.416400000000003,29.992454815856085,30.31431417374194,11.093193333632213,26.92675409485028,Croston_SBA
FOODS_1_011,CA_1,FOODS,FOODS_1,CA,B,Z,BZ,2.48,0.9245038531070836,1.1338934190276817,0.95,1.6448536269514722,3.0,4.9,2.430400000000001,82.0,11.4,6.471526971749586,0,14.0,7.351719093335197,20.57584795024912,22.7664,43.34224795024912,66.11105106401425,30.41962272365645,41.21673824357522,Croston_SBA
